name,hourly_rate,review_rating,review_count,furniture_tasks,overall_tasks,two_hour_minimum,elite_status
Sulayman G.,$103.24,5.0,395,Not found,None,False,True
Gregory K.,$87.75,5.0,793,Not found,None,False,True
Aleksandr K.,$98.07,5.0,206,Not found,None,False,False
Yuri Z.,$82.59,5.0,1655,Not found,None,False,False
Dmitrii B.,$74.33,5.0,856,Not found,None,False,False
Andrii P.,$59.88,5.0,35,Not found,None,False,False
Viktor N.,$46.45,4.8,112,Not found,None,False,True
Petr F.,$98.07,5.0,2304,Not found,None,False,False
SERHII S.,$67.10,5.0,263,Not found,None,False,False
Artur G.,$64,5.0,34,Not found,None,False,False
Michael C.,$87.75,4.9,1796,Not found,None,False,False
Sergei B.,$41.29,5.0,38,Not found,None,False,False
Eduard B.,$87.75,5.0,572,Not found,None,False,True
Denis K.,$75.36,4.9,634,Not found,None,False,False
Alex B.,$82.59,5.0,118,Not found,None,False,False
