name,hourly_rate,review_rating,review_count,furniture_tasks,overall_tasks,tv_mounting_tasks,overall_mounting_tasks,two_hour_minimum,elite_status
Erzhan K.,$160.02,5.0,1732,Not found,None,3203,3371,False,False
AIUR T.,$118.72,5.0,335,Not found,None,573,678,False,False
Aleksandr T.,$103.24,5.0,758,Not found,None,633,1718,False,False
Lachin M.,$98.07,5.0,879,Not found,None,1504,2025,False,True
Aleksandr B.,$123.89,5.0,215,Not found,None,526,410,False,False
Almaz A.,$84.65,4.9,134,Not found,None,341,338,False,True
Beligto D.,$103.24,5.0,756,Not found,None,518,1315,False,False
AIUR B.,$92.91,5.0,675,Not found,None,1326,1325,False,True
Elbek B.,$92.91,5.0,176,Not found,None,174,287,False,False
Bair B.,$113.56,5.0,614,Not found,None,536,1022,False,False
Eugene B.,$87.75,5.0,485,Not found,None,429,886,False,False
Dmitrii A.,$86.72,5.0,409,Not found,None,445,929,False,False
Alexey G.,$92.91,5.0,716,Not found,None,266,1578,False,True
German B.,$113.56,5.0,1030,Not found,None,1095,2064,False,False
IURII S.,$103.24,5.0,896,Not found,None,505,1791,False,True
