name,hourly_rate,review_rating,review_count,furniture_tasks,overall_tasks,two_hour_minimum,elite_status
Michael R.,$36.13,5.0,46,85,83,False,False
Bulat T.,$77.43,5.0,388,731,729,False,True
Oleg K.,$98.07,5.0,470,610,624,True,True
Simon K.,$103.24,5.0,1671,2739,2776,True,False
John A.,$103.24,5.0,1101,1771,1761,True,False
Vladyslav K.,$57.81,5.0,129,280,292,True,False
Nosir K.,$51.62,5.0,44,71,47,True,False
Ale M.,$51.62,5.0,450,695,826,True,False
Aleksandr N.,$49.55,5.0,25,44,46,False,False
Patrick H.,$67.10,5.0,1446,2273,2381,True,False
Nurkeldi O.,$39.23,4.9,11,18,None,True,False
Iaroslav B.,$34.06,5.0,5,6,5,True,False
Evgenii B.,$67.10,5.0,311,654,643,True,False
Gizo M.,$50.58,5.0,159,262,259,False,False
Vitalii M.,$46.45,5.0,14,30,None,False,False
