name,hourly_rate,review_rating,review_count,furniture_tasks,overall_tasks,tv_mounting_tasks,overall_mounting_tasks,two_hour_minimum,elite_status
Erzhan K.,$160.02,5.0,1735,Not found,None,3207,3371,False,False
AIUR T.,$118.72,5.0,337,Not found,None,575,678,False,False
Aleksandr B.,$123.89,5.0,215,Not found,None,526,410,False,False
Aleksandr T.,$103.24,5.0,761,Not found,None,636,1718,False,False
German B.,$113.56,5.0,1032,Not found,None,1096,2069,False,False
Alex K.,$92.91,5.0,137,Not found,None,237,240,False,False
Dmitrii A.,$86.72,5.0,409,Not found,None,447,929,False,False
Ilgam M.,$87.75,5.0,151,Not found,None,158,282,False,True
Alexey G.,$92.91,5.0,716,Not found,None,266,1578,False,True
Lachin M.,$98.07,5.0,881,Not found,None,1505,2025,False,True
AIUR B.,$92.91,5.0,675,Not found,None,1329,1325,False,True
Eugene B.,$87.75,5.0,486,Not found,None,430,886,False,False
Lev S.,$85.69,5.0,219,Not found,None,345,446,False,True
Aleksandr Z.,$82.59,5.0,179,Not found,None,403,397,False,True
Khusan J.,$59.88,5.0,68,Not found,None,115,167,False,True
