name,hourly_rate,review_rating,review_count,furniture_tasks,overall_tasks,two_hour_minimum,elite_status
Michael C.,$86.72,4.9,1766,Not found,None,False,False
Aleksandr K.,$87.75,5.0,196,Not found,None,False,False
Dmitrii B.,$82.59,5.0,839,Not found,None,False,False
Petr F.,$98.07,5.0,2286,Not found,None,False,False
SERHII S.,$82.59,5.0,248,Not found,None,False,False
Gregory K.,$72.26,5.0,739,Not found,None,False,False
Yuri Z.,$77.43,5.0,1638,Not found,None,False,False
Shavkat S.,$45.42,5.0,3,Not found,None,True,False
Sulayman G.,$98.07,5.0,371,Not found,None,False,False
Eduard B.,$87.75,5.0,564,Not found,None,False,False
Roman I.,$74.33,5.0,687,Not found,None,False,False
Tomas P.,$38.19,4.9,17,Not found,None,False,False
Artur G.,$46.45,5.0,6,Not found,None,False,False
Viktor N.,$46.45,4.7,81,Not found,None,False,False
Igor U.,$53.68,5.0,57,Not found,None,False,False
