name,hourly_rate,review_rating,review_count,furniture_tasks,overall_tasks,general_mounting_tasks,overall_mounting_tasks,two_hour_minimum,elite_status
Aiur Z.,$118.72,5.0,632,Not found,None,1116,1464,False,False
Raksha B.,$123.89,5.0,1544,Not found,None,2625,3235,False,False
Timur Y.,$129.05,5.0,849,Not found,None,1505,1940,False,False
Balzhinima A.,$118.72,5.0,1324,Not found,None,2562,2972,False,False
Balzhinima R.,$118.72,5.0,493,Not found,None,1076,1371,False,True
Aleksandr Z.,$103.24,5.0,288,Not found,None,600,615,False,False
Aleksandr O.,$98.07,5.0,957,Not found,None,2026,2302,False,False
Aleksandr T.,$113.56,5.0,800,Not found,None,1178,1891,False,True
Eugene B.,$103.24,5.0,526,Not found,None,504,988,False,False
VLAD B.,$92.91,5.0,1188,Not found,None,2221,2858,False,False
Beligto D.,$118.72,5.0,835,Not found,None,981,1517,False,False
Bulat N.,$118.72,5.0,674,Not found,None,710,1668,False,False
Erdni B.,$98.07,5.0,213,Not found,None,323,472,False,False
AIUR T.,$123.89,5.0,382,Not found,None,195,848,False,True
Reed M.,$108.40,4.9,1108,Not found,None,2136,2597,False,True
