name,hourly_rate,review_rating,review_count,furniture_tasks,overall_tasks,tv_mounting_tasks,overall_mounting_tasks,two_hour_minimum,elite_status
Erzhan K.,$165.18,5.0,1723,Not found,None,3187,3371,False,False
AIUR T.,$123.89,5.0,330,Not found,None,564,678,False,False
Lachin M.,$98.07,5.0,877,Not found,None,1495,1973,False,True
Bair B.,$113.56,5.0,606,Not found,None,524,962,False,False
Beligto D.,$103.24,5.0,745,Not found,None,507,1315,False,False
Aleksandr T.,$103.24,5.0,751,Not found,None,618,1718,False,False
Aleksandr B.,$123.89,5.0,212,Not found,None,517,410,False,False
German B.,$113.56,5.0,1021,Not found,None,1090,2046,False,False
Dmitrii A.,$84.65,5.0,405,Not found,None,434,881,False,False
Eugene B.,$87.75,5.0,476,Not found,None,423,857,False,False
Alex K.,$87.75,5.0,131,Not found,None,219,224,False,False
Ilgam M.,$87.75,5.0,148,Not found,None,155,282,False,True
IURII S.,$103.24,5.0,890,Not found,None,495,1725,False,True
Ivan L.,$77.43,5.0,445,Not found,None,273,947,False,True
MERGEN A.,$61.94,5.0,277,Not found,None,177,470,False,False
