name,hourly_rate,review_rating,review_count,furniture_tasks,overall_tasks,tv_mounting_tasks,overall_mounting_tasks,two_hour_minimum,elite_status
Erzhan K.,$165.18,5.0,1718,Not found,None,3172,3371,False,False
Bair B.,$113.56,5.0,599,Not found,None,514,962,False,False
AIUR T.,$118.72,5.0,322,Not found,None,553,678,False,False
Aleksandr B.,$123.89,5.0,210,Not found,None,511,410,False,False
Bulat N.,$103.24,5.0,637,Not found,None,908,1574,False,False
Volodymyr K.,$84.65,5.0,218,Not found,None,451,444,False,False
Lachin M.,$98.07,5.0,873,Not found,None,1482,1973,False,True
German B.,$113.56,5.0,1015,Not found,None,1087,2015,False,False
Dmitrii A.,$81.56,5.0,400,Not found,None,426,881,False,False
Aleksandr T.,$82.59,5.0,746,Not found,None,608,1718,False,False
Alex K.,$77.43,5.0,128,Not found,None,210,199,False,False
Eugene B.,$84.65,5.0,469,Not found,None,412,857,False,False
VLAD B.,$82.59,5.0,1133,Not found,None,578,2693,False,False
Ilgam M.,$79.49,5.0,146,Not found,None,153,282,False,True
Jackson J.,$87.75,4.8,569,Not found,None,317,1024,False,False
