name,hourly_rate,review_rating,review_count,furniture_tasks,overall_tasks,tv_mounting_tasks,overall_mounting_tasks,two_hour_minimum,elite_status
Erzhan K.,$201.32,5.0,1727,Not found,None,3197,3371,False,False
Bair B.,$113.56,5.0,608,Not found,None,527,962,False,False
Aleksandr B.,$123.89,5.0,212,Not found,None,520,410,False,False
Aleksandr T.,$103.24,5.0,754,Not found,None,624,1718,False,False
Dmitrii A.,$84.65,5.0,406,Not found,None,437,881,False,False
AIUR T.,$118.72,5.0,333,Not found,None,569,678,False,False
Bulat N.,$103.24,5.0,644,Not found,None,919,1594,False,False
Ilgam M.,$85.69,5.0,149,Not found,None,156,282,False,True
German B.,$113.56,5.0,1024,Not found,None,1094,2046,False,False
Lachin M.,$98.07,5.0,878,Not found,None,1497,1973,False,True
Alex K.,$87.75,5.0,132,Not found,None,225,230,False,False
Eugene B.,$92.91,5.0,479,Not found,None,424,886,False,False
Lev S.,$82.59,5.0,215,Not found,None,336,446,False,True
AIUR B.,$77.43,5.0,669,Not found,None,1317,1325,False,True
VLAD B.,$83.62,5.0,1141,Not found,None,593,2693,False,True
